ID	Nama Use Case	Deskripsi & Peran Aktor	Referensi SRS
UC-01	Autentikasi Pengguna	"Manajer: Melakukan login ke area manajemen;
Pelatih: Melakukan login ke area kepelatihan;
Atlet: Melakukan login ke area atlet."	SRS-F-08
UC-02	Lihat Dashboard	Melihat ringkasan aktivitas, statistik, dan data rekapitulasi.	SRS-F-05
UC-03	Kelola Profil Pengguna	"Manajer: Memperbarui profil akun admin;
Pelatih: Memperbarui data profil kepelatihan;
Atlet: Memperbarui informasi profil diri."	SRS-F-07
UC-04	Memverifikasi Pendaftaran & Menetapkan Pelatih	Manajer: Meninjau/memverifikasi akun atlet baru dan menugaskan pelatih spesifik untuk membimbingnya.	SRS-F-14, SRS-F-15
UC-05	Lihat Ringkasan Daftar Atlet	"Manajer: Melihat daftar seluruh atlet;
Pelatih: Melihat daftar seluruh atlet yang dibimbing untuk keperluan pemantauan;"	SRS-F-18
UC-06	Kelola data Metrik Fisik (BMI)	"Manajer: Meninjau pembaruan rekam fisik atlet;
Pelatih: Memantau perkembangan fisik (BMI) atlet untuk penyesuaian latihan;
Atlet: Menginput dan menyimpan detail tinggi/berat badan secara berkala."	SRS-F-11
UC-07	Kelola Jadwal Sesi Latihan	Pelatih: Menyusun, membuat, dan mendistribusikan jadwal sesi latihan untuk para atletnya.	SRS-F-01
UC-08	Analisa Grafik & Statistik Latihan	"Manajer: Memantau grafik statistik keseluruhan atlet;
Pelatih: Menganalisis statistik performa khusus atlet bimbingannya;
Atlet: Meninjau progres grafik latihannya sendiri."	SRS-F-06
UC-09	Bandingkan Performa & Memfilter Riwayat	"Manajer: Membandingkan grafik performa antar atlet dan menyaring riwayat latihan secara global;
Pelatih: Mengkomparasi data performa beberapa atlet bimbingannya."	SRS-F-16, SRS-F-17
UC-10	Lihat Laporan Riwayat Performa	"Manajeer: Melihat laporan dari seluruh atlet untuk merinci evaluasi atlet;
Pelatih: Menghasilkan (generate) laporan riwayat performa para atlet;
Atlet: Melihat laporannya sendiri untuk bahan evaluasi mandiri."	SRS-F-13
UC-11	Kelola Evaluasi & Umpan Balik Latihan	"Pelatih: Memberikan ulasan, evaluasi, dan umpan balik atas sesi latihan atlet;
Atlet: Menerima, membaca, dan merespons evaluasi yang diberikan pelatih."	SRS-F-04
UC-12	Kelola Pesan	"Pelatih: Mengirim pesan dan notifikasi ke atlet;
Atlet: Menerima notifikasi dari sistem dan membaca pesan dengan pelatih."	SRS-F-03
UC-13	Kelola Event & Partisipasi	"Manajer: Mendata event baru, meninjau histori dan mendaftarkan atlet yang berpartisipasi;
Pelatih: Memantau detail, dan melihat histori event yang akan datang;
Atlet: Melihat jadwal, dan melihat histori event partisipasinya."	SRS-F-09, SRS-F-12
UC-14	Kelola Dokumen Lisensi UCI	"Manajer: Memeriksa dan memvalidasi keabsahan dokumen lisensi seluruh atlet;
Pelatih: Membantu memantau status kelengkapan lisensi atletnya;
Atlet: Mengunggah file pribadi untuk kebutuhan dokumen lisensi UCI."	SRS-F-10
UC-15	Gunakan Kalkulator Gear Sepeda	"Pelatih: Menggunakan fitur kalkulator untuk memberikan rekomendasi setting teknis;
Atlet: Menggunakan kalkulator untuk perhitungan mandiri gir sepedanya."	SRS-F-02
